order_item_id,order_id,product_id,quantity,unit_price_at_purchase,discount_pct
1,1,54,1,2327.75,20
2,1,48,3,6062.17,10
3,1,17,1,7344.41,15
4,2,33,1,4033.43,0
5,3,39,2,7479.47,0
6,3,46,2,6189.92,25
7,3,53,2,442.24,5
8,4,58,1,7800.24,0
9,5,57,1,2023.58,25
10,6,39,3,7479.47,0
11,6,10,3,10601.46,0
12,6,51,3,5784.03,0
13,6,38,2,1525.22,5
14,7,39,3,7479.47,0
15,7,7,3,9566.23,5
16,8,24,2,8428.85,0
17,8,56,3,12077.06,0
18,8,3,2,6068.9,20
19,8,45,1,11002.48,25
20,9,37,1,8898.85,10
21,10,42,2,2330.94,0
22,10,38,2,1525.22,0
23,10,17,3,7344.41,0
24,10,55,3,8917.18,0
25,11,55,2,8917.18,0
26,11,56,3,12077.06,15
27,12,25,2,8484.54,0
28,12,41,1,6732.86,25
29,13,46,3,6189.92,
30,13,39,3,7479.47,0
31,13,4,1,10523.93,5
32,14,11,2,3405.33,0
33,15,59,3,12800.08,0
34,16,30,2,7006.29,0
35,16,60,3,9163.59,10
36,17,45,2,11002.48,0
37,17,29,3,4700.33,0
38,17,25,2,8484.54,0
39,18,34,1,12053.17,20
40,18,35,2,2998.83,10
41,18,1,2,12008.38,25
42,19,48,1,6062.17,0
43,19,13,1,3256.25,0
44,19,16,3,6378.95,25
45,19,56,2,12077.06,15
46,20,12,3,4331.15,10
47,20,49,3,6065.27,10
48,20,59,3,12800.08,0
49,20,33,1,4033.43,0
50,21,38,1,1525.22,0
51,21,7,2,9566.23,0
52,21,21,1,2967.61,0
53,21,24,3,8428.85,0
54,22,37,3,8898.85,0
55,22,44,2,11459.88,0
56,23,12,3,4331.15,0
57,24,26,1,1873.58,0
58,25,17,2,7344.41,5
59,25,24,3,8428.85,0
60,25,36,3,4299.63,0
61,26,50,2,7293.66,0
62,26,48,1,6062.17,0
63,26,29,2,4700.33,0
64,26,57,1,2023.58,10
65,27,18,3,14551.4,0
66,27,57,2,2023.58,0
67,27,29,1,4700.33,0
68,27,50,3,7293.66,0
69,28,36,1,4299.63,10
70,28,4,2,10523.93,10
71,28,2,2,6723.5,5
72,28,50,3,7293.66,15
73,29,9,3,3858.09,0
74,29,45,2,11002.48,0
75,29,35,2,2998.83,0
76,29,12,1,4331.15,0
77,30,1,2,12008.38,0
78,31,1,1,12008.38,0
79,31,50,1,7293.66,0
80,31,28,2,10434.86,0
81,32,28,3,10434.86,0
82,33,27,1,12507.26,0
83,33,13,3,3256.25,
84,33,55,1,8917.18,5
85,34,6,2,6150.38,20
86,34,10,2,10601.46,5
87,35,5,2,6591.65,0
88,35,35,3,2998.83,0
89,35,31,2,7970.7,0
90,35,12,1,4331.15,0
91,36,60,3,9163.59,0
92,36,21,2,2967.61,0
93,36,11,2,3405.33,0
94,37,21,1,2967.61,5
95,37,1,3,12008.38,25
96,37,11,1,3405.33,20
97,37,51,3,5784.03,5
98,38,9,3,3858.09,0
99,39,23,3,6127.8,0
100,39,47,3,1835.04,0
101,39,9,3,3858.09,0
102,39,17,2,7344.41,0
103,40,29,2,4700.33,0
104,40,19,3,9582.17,0
105,41,21,3,2967.61,0
106,41,47,2,1835.04,15
107,42,12,1,4331.15,10
108,42,56,3,12077.06,0
109,43,1,3,12008.38,5
110,44,53,1,442.24,0
111,44,24,1,8428.85,0
112,44,51,1,5784.03,5
113,44,46,1,6189.92,0
114,45,48,3,6062.17,0
115,45,7,1,9566.23,0
116,45,50,3,7293.66,0
117,45,41,3,6732.86,0
118,46,49,1,6065.27,0
119,46,41,3,6732.86,0
120,46,28,2,10434.86,0
121,46,53,3,442.24,10
122,47,14,3,2002.17,0
123,47,55,3,8917.18,0
124,48,15,3,3426.72,0
125,48,17,3,7344.41,10
126,49,39,3,7479.47,0
127,50,27,3,12507.26,0
128,50,60,1,9163.59,0
129,50,56,1,12077.06,0
130,50,8,3,6236.34,0
131,51,29,2,4700.33,0
132,51,49,1,6065.27,0
133,51,39,3,7479.47,10
134,51,37,2,8898.85,0
135,52,32,3,12559.25,0
136,52,26,1,1873.58,20
137,53,28,3,10434.86,10
138,53,24,2,8428.85,0
139,53,23,2,6127.8,0
140,53,13,1,3256.25,0
141,54,16,2,6378.95,5
142,55,14,3,2002.17,0
143,55,35,1,2998.83,0
144,56,11,2,3405.33,10
145,56,4,3,10523.93,0
146,56,19,1,9582.17,20
147,57,32,1,12559.25,20
148,57,56,3,12077.06,10
149,57,39,2,7479.47,20
150,58,16,2,6378.95,0
